EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,MortFleetGroup

timestep,fleet,group,value
149,3,20,0.0001545894
149,3,41,0.03451179
149,3,45,0.005274914
150,1,22,0.08660508
150,2,7,0.0001891398
150,3,15,0.0003369485
150,3,20,0.0001545894
150,3,41,0.03451179
150,3,45,0.005274914
151,1,22,0.08660508
151,2,7,0.0001891398
151,3,15,0.0003369485
151,3,20,0.0001545894
151,3,41,0.03451179
151,3,45,0.005274914
152,1,22,0.08660508
152,2,7,0.0001891398
152,3,15,0.0003369485
152,3,20,0.0001545894
152,3,41,0.03451179
152,3,45,0.005274914
153,1,22,0.08660508
153,2,7,0.0001891398
153,3,15,0.0003369485
153,3,20,0.0001545894
153,3,41,0.03451179
153,3,45,0.005274914
154,1,22,0.08660508
154,2,7,0.0001891398
154,3,15,0.0003369485
154,3,20,0.0001545894
154,3,41,0.03451179
154,3,45,0.005274914
155,1,22,0.08660508
155,2,7,0.0001891398
155,3,15,0.0003369485
155,3,20,0.0001545894
155,3,41,0.03451179
155,3,45,0.005274914
156,1,22,0.08660508
156,2,7,0.0001891398
156,3,15,0.0003369485
156,3,20,0.0001545894
156,3,41,0.03451179
156,3,45,0.005274914
157,1,22,0.08660508
157,2,7,0.0001891398
157,3,15,0.0003369485
157,3,20,0.0001545894
157,3,41,0.03451179
157,3,45,0.005274914
158,1,22,0.08660508
158,2,7,0.0001891398
158,3,15,0.0003369485
158,3,20,0.0001545894
158,3,41,0.03451179
158,3,45,0.005274914
159,1,22,0.08660508
159,2,7,0.0001891398
159,3,15,0.0003369485
159,3,20,0.0001545894
159,3,41,0.03451179
159,3,45,0.005274914
160,1,22,0.08660508
160,2,7,0.0001891398
160,3,15,0.0003369485
160,3,20,0.0001545894
160,3,41,0.03451179
160,3,45,0.005274914
161,1,22,0.08660508
161,2,7,0.0001891398
161,3,15,0.0003369485
161,3,20,0.0001545894
161,3,41,0.03451179
161,3,45,0.005274914
162,1,22,0.08660508
162,2,7,0.0001891398
162,3,15,0.0003369485
162,3,20,0.0001545894
162,3,41,0.03451179
162,3,45,0.005274914
163,1,22,0.08660508
163,2,7,0.0001891398
163,3,15,0.0003369485
163,3,20,0.0001545894
163,3,41,0.03451179
163,3,45,0.005274914
164,1,22,0.08660508
164,2,7,0.0001891398
164,3,15,0.0003369485
164,3,20,0.0001545894
164,3,41,0.03451179
164,3,45,0.005274914
165,1,22,0.08660508
165,2,7,0.0001891398
165,3,15,0.0003369485
165,3,20,0.0001545894
165,3,41,0.03451179
165,3,45,0.005274914
166,1,22,0.08660508
166,2,7,0.0001891398
166,3,15,0.0003369485
166,3,20,0.0001545894
166,3,41,0.03451179
166,3,45,0.005274914
167,1,22,0.08660508
167,2,7,0.0001891398
167,3,15,0.0003369485
167,3,20,0.0001545894
167,3,41,0.03451179
167,3,45,0.005274914
168,1,22,0.08660508
168,2,7,0.0001891398
168,3,15,0.0003369485
168,3,20,0.0001545894
168,3,41,0.03451179
168,3,45,0.005274914
169,1,22,0.08660508
169,2,7,0.0001891398
169,3,15,0.0003369485
169,3,20,0.0001545894
169,3,41,0.03451179
169,3,45,0.005274914
170,1,22,0.08660508
170,2,7,0.0001891398
170,3,15,0.0003369485
170,3,20,0.0001545894
170,3,41,0.03451179
170,3,45,0.005274914
171,1,22,0.08660508
171,2,7,0.0001891398
171,3,15,0.0003369485
171,3,20,0.0001545894
171,3,41,0.03451179
171,3,45,0.005274914
172,1,22,0.08660508
172,2,7,0.0001891398
172,3,15,0.0003369485
172,3,20,0.0001545894
172,3,41,0.03451179
172,3,45,0.005274914
173,1,22,0.08660508
173,2,7,0.0001891398
173,3,15,0.0003369485
173,3,20,0.0001545894
